GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",802188,910435,1004489,1110361,1225781,1510511,2016802,2407760,2679418,2727115,2861583,3211748,3722871,4630928,5128638,5580641,5959440,5976461,5648003,5714178,6216429,6667050,7010576,7523421,7957854,8276362,8433538,8696018,9317321,9893646,10245634,10952169,11834041,12524289,13093843,13816204,14744647,15789736,17085504,18928756,18929242,20225886,21391927,21888972,21586515,22674958,23525428,23104577,23373457,24240924,24695963,25373799,26890366,28498825,29628647
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",129696,134230,141875,151010,155729,161355,175236,186127,189680,194074,195031,193839,199831,216861,237309,252265,264128,270074,265211,263645,263958,267762,277407,290307,296514,300188,301878,302606,306480,312895,317172,320618,326081,332582,337730,345245,350903,358718,360194,365633,374562,383511,388534,392704,398003,399171,399917,402855,402149,399386,398130,398397,400167,400455,401314
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6185,6783,7080,7353,7871,9361,11509,12936,14126,14052,14672,16569,18630,21354,21612,22122,22563,22129,21296,21674,23551,24899,25272,25915,26838,27571,27937,28737,30401,31620,32303,34160,36292,37658,38770,40019,42019,44017,47434,51770,50537,52739,55058,55739,54237,56805,58826,57352,58121,60695,62030,63690,67198,71166,73829
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1052627,1095725,1212039,1349916,1518740,1638400,1805963,2038347,2297921,2616066,2903535,3192512,3432768,3636617,3925635,4305098,4696434,5015622,5259526,5770107,6268452,6666074,6763430,7218010,7616103,8160901,8718938,9122494,9554817,10183294,10888192,11726150,12271172,12726002,13316301,13464837,13703537,14173298,14605029,15265029,14301842,15825960,15810708,16841429,16956531,17816878,18869915,19714573,20722255,21650159,22657639,23558091,25859100,26706133,28342725
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",223597,234226,236222,241470,246780,256447,251024,253934,257407,259775,262859,264400,262466,260239,260212,260737,262568,266087,269717,273346,279329,283987,287126,290323,291617,293671,297926,303133,308398,312601,318270,324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,346108,350715,353845,358147,362711,366258,370179,373437,374797,373006,371834,365013,366504,365536
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4708,4678,5131,5590,6154,6389,7194,8027,8927,10071,11046,12075,13079,13974,15086,16511,17887,18850,19500,21109,22441,23473,23556,24862,26117,27789,29265,30094,30982,32576,34211,36150,37327,38243,39614,39670,40041,41199,42295,44688,41633,45725,45081,47595,47345,49121,51521,53257,55491,57765,60743,63356,70844,72867,77537
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",304416,313931,353608,396486,433646,485455,557197,624434,702104,776570,849687,973080,1069494,1144773,1219367,1340481,1402992,1470032,1522308,1606800,1702880,1758915,1852279,1950826,2004038,2071612,2181738,2245415,2326050,2465628,2471045,2455321,2576837,2693742,2837929,3013446,3143140,3290907,3490891,3625139,3566455,3667238,3738325,3766067,3712764,3800402,3936697,3970877,4049899,4154359,4286419,4598776,4999025,4940057,5208717
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118488,118109,117843,117417,117154,116986,116746,116730,116556,116601,116243,115678,115780,116429
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2957,3044,3412,3818,4129,4583,5207,5537,6224,6667,7278,8108,8852,9375,10057,11011,11825,12490,12891,13703,14632,15148,16072,16846,17228,17834,18681,19244,19838,21042,21504,22104,23159,24132,25180,26559,27457,28520,30039,30912,30132,30950,31651,31958,31620,32439,33651,34013,34695,35643,36761,39562,43215,42668,44737
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",508263,550635,581862,638012,723046,800861,877279,977626,1092940,1211224,1398101,1543867,1684084,1780220,1908620,2130040,2282389,2447555,2598178,2774792,3023753,3206142,3371807,3692809,3894073,4184160,4426850,4706436,4933340,5219350,5583318,6040192,6440156,6688495,6871805,7129341,7397433,7776102,8186296,8574198,8430089,8684516,9256564,9628086,9779432,10260723,10696897,11052559,11505626,12024941,12569469,13307569,14427317,15018870,15825017
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",143488,147307,148324,149228,148989,150556,153496,152296,154282,155590,156784,159892,160685,161454,162093,163293,164668,166459,168530,171443,173276,175333,177039,179533,182315,185813,188656,191586,194050,196776,199495,202618,205676,208747,211350,213592,215925,218441,220368,222402,224632,225990,228032,229572,231336,233419,235372,236877,238913,240640,241982,243451,243903,244981,246433
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3542,3738,3923,4275,4853,5319,5715,6419,7084,7785,8917,9656,10481,11026,11775,13044,13861,14704,15417,16185,17451,18286,19046,20569,21359,22518,23465,24566,25423,26524,27987,29811,31312,32041,32514,33378,34259,35598,37148,38553,37528,38429,40593,41939,42274,43958,45447,46659,48158,49971,51944,54662,59152,61306,64216
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",730298,785483,861652,973755,1111269,1218978,1318910,1474607,1653861,1859539,2064242,2350223,2646310,2819933,3096586,3444682,3682878,3928518,4204254,4600105,5033844,5375362,5666820,6096392,6515105,6850589,7375343,7780063,8395978,8949022,9247214,9735072,10167434,10302600,10566509,11376805,12018802,13080082,13899253,14414593,14037094,14312533,14901072,15732240,15753289,16809316,17834583,18695414,19615716,20800118,22260159,23583907,26368928,27690736,29794513
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",244960,246263,251104,253306,257291,260984,264807,266999,270770,275655,279654,283635,285988,289085,289822,293506,296586,299050,300229,302741,305480,309502,315160,321240,328220,334878,341739,347921,354052,359909,365159,370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425436,428580,431801,437016,441239,446515,452631,457702,462493,466211,469781,473350,476584,480171
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2981,3190,3431,3844,4319,4671,4981,5523,6108,6746,7381,8286,9253,9755,10684,11736,12418,13137,14003,15195,16478,17368,17981,18978,19850,20457,21582,22362,23714,24865,25324,26267,27120,27125,27433,29118,30319,32333,33749,34530,33262,33642,34768,36434,36047,38096,39942,41304,42857,44974,47747,50202,55707,58103,62050
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",254551,287152,321923,363661,415511,470958,520622,579382,641865,719753,790228,871733,997830,1080640,1209407,1325136,1434345,1576114,1675280,1844296,2049210,2202305,2291239,2412804,2573061,2744418,2964976,3182986,3339194,3583032,3742813,3931566,4148203,4289565,4527146,4733050,4965919,5193172,5474472,5650554,5600638,5708147,5974835,6233450,6341819,6804097,7310545,7580191,8070314,8457939,8924235,9594777,10535079,11315489,11818292
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",92643,94672,97214,100987,105560,107666,108211,106120,107309,108452,109148,114324,117011,118289,120365,122473,124327,125434,128002,130586,133894,136914,139359,141899,144916,148953,151718,154977,158291,160330,163456,166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193457,194489,196205,197913,198779,203075,205869,209508,212059,214457,215712,218314,220331,222060
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2748,3033,3311,3601,3936,4374,4811,5460,5981,6637,7240,7625,8528,9136,10048,10820,11537,12565,13088,14123,15305,16085,16441,17004,17756,18425,19543,20538,21095,22348,22898,23576,24550,25109,26041,26574,27747,28351,29310,29748,29167,29506,30721,31770,32043,34229,35999,36820,38520,39885,41613,44480,48257,51357,53221
