"","year","prim_state","CBSA_Code","CBSA_name","tot_emp_school_psychologists","tot_emp_teachers_preschool","tot_emp_bus_drivers","tot_emp_administrators_elemsec","tot_emp_teachers_kindergarten","tot_emp_teachers_elementary","tot_emp_teachers_secondary","tot_emp_administrators_preschool","tot_emp_teachers_middle_school","tot_emp_teachers_other","a_mean_school_psychologists","a_mean_teachers_preschool","a_mean_bus_drivers","a_mean_administrators_elemsec","a_mean_teachers_kindergarten","a_mean_teachers_elementary","a_mean_teachers_secondary","a_mean_administrators_preschool","a_mean_teachers_middle_school","a_mean_teachers_other","a_median_school_psychologists","a_median_teachers_preschool","a_median_bus_drivers","a_median_administrators_elemsec","a_median_teachers_kindergarten","a_median_teachers_elementary","a_median_teachers_secondary","a_median_administrators_preschool","a_median_teachers_middle_school","a_median_teachers_other","tot_emp_substitute_teachers","a_mean_substitute_teachers","a_median_substitute_teachers"
"51",1999,"DE",20100,"Dover, DE",NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,16190,20870,NA,NA,NA,NA,NA,NA,NA,NA,14070,18690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1999,"DE",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",390,740,1490,NA,220,NA,1300,NA,NA,NA,52390,19110,20600,NA,40590,NA,50860,NA,NA,NA,50240,17410,21140,NA,37170,NA,50800,NA,NA,NA,NA,NA,NA
"53",1999,"FL",19660,"Deltona-Daytona Beach-Ormond Beach, FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18780,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1999,"FL",33100,"Miami-Fort Lauderdale-West Palm Beach, FL",NA,6110,NA,980,NA,4030,8240,NA,2950,NA,150820,50450,32390,129070,44330,65740,38110,56990,34420,NA,158080,47570,31740,105220,39370,62500,37120,52840,33670,NA,NA,NA,NA
"55",1999,"FL",15980,"Cape Coral-Fort Myers, FL",80,NA,NA,280,NA,NA,1030,NA,NA,NA,45040,16390,NA,45940,NA,31200,27010,NA,NA,NA,43360,15100,NA,43180,NA,30990,26660,NA,NA,NA,NA,NA,NA
"56",1999,"FL",38940,"Port St. Lucie, FL",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,43350,17600,20010,66610,40850,40560,52320,27760,NA,NA,35000,15280,20270,66110,40280,39200,52990,27350,NA,NA,NA,NA,NA
"57",1999,"FL",18880,"Crestview-Fort Walton Beach-Destin, FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14570,NA,NA,NA,NA,NA,NA,NA,NA,NA,14020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1999,"FL",23540,"Gainesville, FL",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,51050,17730,NA,NA,NA,NA,NA,60460,NA,NA,50620,17370,NA,NA,NA,NA,NA,63250,NA,NA,NA,NA,NA
"59",1999,"FL",27260,"Jacksonville, FL",140,2020,3220,780,1060,6480,3510,190,2710,NA,55520,15620,18160,62940,40510,42330,42760,27390,43190,NA,58130,15250,17970,62300,38200,38990,40610,24600,40430,NA,NA,NA,NA
"60",1999,"FL",29460,"Lakeland-Winter Haven, FL",NA,530,NA,NA,NA,NA,NA,30,NA,NA,NA,15630,NA,NA,14400,NA,NA,28450,NA,NA,NA,15480,NA,NA,12360,NA,NA,28760,NA,NA,NA,NA,NA
