CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model,mape_base
19980,3,2019,38661.0,38524.1875,38283.61708333333,136.8125,377.3829166666692,0.3538772923617201,0.9761333557501658
20020,1,2017,40811.84765625,41106.1640625,40721.29041666667,294.31640625,90.55723958332965,0.7211543293234256,0.22188958546070472
20020,2,2018,41403.84765625,41314.70703125,40721.29041666667,89.140625,682.5572395833296,0.21529551006963604,1.648535771964979
20020,3,2019,42548.0,41566.16015625,40721.29041666667,981.83984375,1826.7095833333296,2.307605160641556,4.293291302371205
20060,1,2017,32173.7578125,31703.5390625,30810.78458333333,470.21875,1362.9732291666696,1.4614977608153892,4.236288583724932
20060,2,2018,31983.375,32161.396484375,30810.78458333333,178.021484375,1172.5904166666696,0.5566063130452753,3.6662497834149868
20060,3,2019,32353.0,32428.73046875,30810.78458333333,75.73046875,1542.2154166666696,0.23407556872616633,4.766838984533715
20100,1,2017,42636.48828125,42179.265625,41941.1925,457.22265625,695.2957812500026,1.0723740971203835,1.6307529284854487
20100,2,2018,43202.19921875,42852.546875,41941.1925,349.65234375,1261.0067187500026,0.809339223634171,2.918848441869197
20100,3,2019,44271.0,43300.23046875,41941.1925,970.76953125,2329.8075000000026,2.1927888036181264,5.262604187841875
20140,1,2017,34220.609375,33766.37109375,33961.221666666665,454.23828125,259.38770833333547,1.327382210737933,0.7579868186764563
20140,2,2018,34647.30078125,34160.97265625,33961.221666666665,486.328125,686.0791145833355,1.4036537162601848,1.9801805598501958
20140,3,2019,34947.0,34603.75390625,33961.221666666665,343.24609375,985.7783333333355,0.9821904419546794,2.8207809921682934
20180,1,2017,43891.515625,43244.99609375,43752.40083333333,646.51953125,139.11479166666686,1.4729943180216911,0.3169514419488338
20180,2,2018,45207.26953125,43413.6640625,43752.40083333333,1793.60546875,1454.8686979166669,3.9675155950521512,3.2182184701746954
20180,3,2019,44982.0,43938.86328125,43752.40083333333,1043.13671875,1229.5991666666669,2.3190092009020677,2.7335360069947834
20220,1,2017,47641.9921875,47785.5,47467.50875,143.5078125,174.48343749999913,0.30122126701834806,0.36623875175761933
20220,2,2018,49323.31640625,48117.8828125,47467.50875,1205.43359375,1855.8076562499991,2.4439427061660624,3.7625362434357
20220,3,2019,49522.0,48781.57421875,47467.50875,740.42578125,2054.491249999999,1.4951451501349915,4.148643532166682
20260,1,2017,44581.1015625,46062.83984375,43961.2225,1481.73828125,619.8790624999965,3.32369149553732,1.3904525477703251
20260,2,2018,46064.6953125,46083.6875,43961.2225,18.9921875,2103.4728124999965,0.04122937831489836,4.566344785805512
20260,3,2019,46579.0,46798.15234375,43961.2225,219.15234375,2617.7774999999965,0.47049602556936165,5.620080937760438
20300,1,2017,44107.46875,44685.0703125,42709.35791666667,577.6015625,1398.1108333333323,1.3095323283539573,3.169782517463134
20300,2,2018,43611.56640625,44245.36328125,42709.35791666667,633.796875,902.2084895833323,1.4532770254017404,2.0687367226824245
20300,3,2019,47123.0,44980.57421875,42709.35791666667,2142.42578125,4413.642083333332,4.54645455775215,9.366216249670853
20340,1,2017,40770.1171875,45138.33984375,40935.43916666667,4368.22265625,165.32197916667064,10.714275448754936,0.40549792488042524
20340,2,2018,42841.71484375,45490.6328125,40935.43916666667,2648.91796875,1906.2756770833294,6.183034405626323,4.449578370136095
20340,3,2019,43654.0,45948.265625,40935.43916666667,2294.265625,2718.5608333333294,5.255567931917978,6.227518287746156
20420,1,2017,54812.23046875,58333.76953125,56124.019166666665,3521.5390625,1311.7886979166651,6.424732276689755,2.3932408637599845
20420,2,2018,57427.1015625,58775.43359375,56124.019166666665,1348.33203125,1303.0823958333349,2.347901939265255,2.2691070250427248
20420,3,2019,58995.0,59499.859375,56124.019166666665,504.859375,2870.980833333335,0.855766378506508,4.866481622735568
