CBSA_Code,horizon,year,y_true,y_pred,y_base,abs_err_model,abs_err_base,mape_model
12620,3,2019,42732.0,37904.40625,40885.364583333336,4827.59375,1846.6354166666642,11.297373748010859
12660,1,2017,47251.81640625,43215.99609375,46419.13875,4035.8203125,832.6776562500017,8.54109031026833
12660,2,2018,48660.390625,43630.71875,46419.13875,5029.671875,2241.2518750000017,10.336275172472478
12660,3,2019,52252.0,43943.73046875,46419.13875,8308.26953125,5832.861250000002,15.900385690978336
12700,1,2017,66931.640625,61077.765625,66431.92541666667,5853.875,499.7152083333349,8.7460503662202
12700,2,2018,68268.1328125,62531.09765625,66431.92541666667,5737.03515625,1836.2073958333349,8.403679608473984
12700,3,2019,72787.0,62856.40625,66431.92541666667,9930.59375,6355.074583333335,13.643361795375547
12740,1,2017,58052.55859375,47882.65234375,58068.40458333334,10169.90625,15.845989583336632,17.518446208665303
12740,2,2018,58737.6796875,48716.94921875,58068.40458333334,10020.73046875,669.2751041666634,17.060140138430626
12740,3,2019,58793.0,49328.67578125,58068.40458333334,9464.32421875,724.5954166666634,16.097705881227355
12780,1,2017,61325.2265625,76674.109375,55487.965416666666,15348.8828125,5837.261145833334,25.02866059020114
12780,2,2018,67602.1484375,73333.3046875,55487.965416666666,5731.15625,12114.183020833334,8.477772352602976
12780,3,2019,62416.0,66050.734375,55487.965416666666,3634.734375,6928.034583333334,5.823401651820046
12860,1,2017,43258.265625,42450.109375,42335.39666666667,808.15625,922.8689583333326,1.8682123250289233
12860,2,2018,43187.9453125,42783.890625,42335.39666666667,404.0546875,852.5486458333326,0.9355728423205476
12860,3,2019,44308.0,43353.80078125,42335.39666666667,954.19921875,1972.6033333333326,2.153559670375553
12900,1,2017,35191.87109375,34000.9453125,35046.88125,1190.92578125,144.98984375000146,3.38409338360388
12900,2,2018,35272.546875,33987.88671875,35046.88125,1284.66015625,225.66562500000146,3.642096389587688
12900,3,2019,35612.0,34297.32421875,35046.88125,1314.67578125,565.1187500000015,3.691665116393351
12940,1,2017,47318.58203125,46944.16015625,46946.52,374.421875,372.0620312500032,0.7912787301038002
12940,2,2018,48309.0703125,47692.55859375,46946.52,616.51171875,1362.5503125000032,1.2761821222431542
12940,3,2019,49089.0,48253.625,46946.52,835.375,2142.480000000003,1.7017559942145897
12980,1,2017,39630.890625,37260.3359375,39813.55541666667,2370.5546875,182.66479166666977,5.981583179472136
12980,2,2018,39557.63671875,37636.6875,39813.55541666667,1920.94921875,255.91869791666977,4.856076798540105
12980,3,2019,40009.0,38216.00390625,39813.55541666667,1792.99609375,195.44458333333023,4.481481900947286
13020,1,2017,41137.33984375,40019.859375,41581.081666666665,1117.48046875,443.7418229166651,2.716462641956123
13020,2,2018,42454.75390625,40257.15234375,41581.081666666665,2197.6015625,873.6722395833349,5.1763380076417755
13020,3,2019,42643.0,40568.08203125,41581.081666666665,2074.91796875,1061.9183333333349,4.865787981028539
13060,1,2017,43299.9921875,38727.05859375,43226.085,4572.93359375,73.90718750000087,10.561049466124688
13060,2,2018,44043.33203125,39249.8515625,43226.085,4793.48046875,817.2470312500009,10.883555461582445
13060,3,2019,45748.0,39754.87890625,43226.085,5993.12109375,2521.915000000001,13.100290928018712
13100,1,2017,45767.2734375,47798.5234375,45668.02,2031.25,99.2534375000032,4.438215011374632
13100,2,2018,47146.15234375,48722.34375,45668.02,1576.19140625,1478.1323437500032,3.343202632439103
13100,3,2019,48612.0,49340.7578125,45668.02,728.7578125,2943.980000000003,1.4991315158808525
13140,1,2017,43828.921875,40953.50390625,43720.43833333333,2875.41796875,108.48354166666832,6.560549166485743
13140,2,2018,44109.5234375,41646.93359375,43720.43833333333,2462.58984375,389.0851041666683,5.582898321808694
13140,3,2019,44384.0,42407.62109375,43720.43833333333,1976.37890625,663.5616666666683,4.452908494615176
13180,1,2017,43448.13671875,40886.2109375,43027.9175,2561.92578125,420.2192187499968,5.8965147293517965
13180,2,2018,44038.2421875,41285.828125,43027.9175,2752.4140625,1010.3246874999968,6.250054329555545
