CBSA_Code,CBSA_Name,main_state,year,Metro_Micro,total_students,diploma_recipients,population,unemployment,Employees,Establishment_entries,Job_creation_entries,operations_adj,instruction_adj,student_adj,other_adj,per_cap_income_adj,total_expenditure
33980,Morehead City,NC,1999,0,8539.0,461.0,59341.0,4.1,17910.0,185.0,1086.0,17668777.911164466,55311624.249699876,10421386.554621847,1979909.9639855942,39117.8025210084,85381698.67947178
33980,Morehead City,NC,2000,0,8525.0,454.0,59406.0,4.2,18366.0,196.0,1101.0,15830532.520325204,60010800.23228804,10468554.006968642,2368417.537746806,39427.0987224158,88678304.2973287
33980,Morehead City,NC,2001,0,8439.0,524.0,59790.0,5.3,18014.0,163.0,1010.0,15399785.310734462,62957096.04519773,10642609.604519773,2208843.5028248588,39799.63276836158,91208334.46327682
33980,Morehead City,NC,2002,0,8329.0,543.0,60311.0,5.8,17939.0,164.0,1229.0,15786881.045025012,60350316.84269038,10996947.748749305,2276994.997220678,39683.95775430794,89411140.63368537
33980,Morehead City,NC,2003,0,8355.0,516.0,61067.0,5.2,18522.0,190.0,761.0,14598524.456521736,57486640.760869555,10443399.456521738,2065055.4347826084,40949.52119565217,84593620.10869564
33980,Morehead City,NC,2004,0,8437.0,526.0,62127.0,4.6,19078.0,183.0,862.0,14922375.860243514,56271597.14134462,10776218.634197988,2203703.546850185,42216.895712016936,84173895.1826363
33980,Morehead City,NC,2005,0,8490.0,534.0,62833.0,4.6,18954.0,213.0,1211.0,15700739.37532002,59396242.70353302,10780511.008704556,2195642.089093702,42936.12800819252,88073135.1766513
33980,Morehead City,NC,2006,0,8665.0,0.0,64028.0,4.1,19997.0,255.0,1512.0,16657282.242063493,59043108.63095238,11420251.984126985,2298255.9523809524,44128.543650793654,89418898.80952382
33980,Morehead City,NC,2007,0,8589.0,481.0,64258.0,4.0,19839.0,240.0,1553.0,16375654.606849976,61689937.771345876,11494781.95851423,2365810.9020742886,45827.41003376748,91926185.23878437
33980,Morehead City,NC,2008,0,8471.0,515.0,64700.0,5.2,19751.0,198.0,1297.0,14662666.97631212,58801498.83882953,11282628.88992104,2271965.164886205,46002.24709707384,87018759.8699489
33980,Morehead City,NC,2009,0,8407.0,564.0,65670.0,8.9,18297.0,147.0,914.0,16892166.356011182,64583910.06523765,11670929.636533085,2201927.306616962,46775.46551724138,95348933.36439887
