CBSA_Code,CBSA_Name,main_state,year,Metro_Micro,total_students,operations_adj,instruction_adj,student_adj,other_adj,per_cap_income_adj
39060,Pottsville,PA,1998,0,19346.0,39238184.66257668,134697426.38036808,31416588.343558278,4830063.190184048,33768.08711656441
39060,Pottsville,PA,1999,0,19285.0,38312025.21008403,143399199.87995198,31480568.427370947,4888382.352941176,34155.749099639856
39060,Pottsville,PA,2000,0,19677.0,37051256.67828107,135390328.6875726,31337356.562137052,5241701.509872242,34951.606271777004
39060,Pottsville,PA,2001,0,18850.0,39075871.75141243,136985857.62711865,31440987.570621468,5035989.830508474,35699.76497175141
39060,Pottsville,PA,2002,0,18478.0,40532500.833796546,141801924.4024458,32634085.603112835,5757869.371873262,36237.19566425792
39060,Pottsville,PA,2003,0,18368.0,40504825.54347826,150384952.17391303,33207647.826086953,6938641.847826086,36777.72010869565
39060,Pottsville,PA,2004,0,18149.0,41910976.17787188,149444399.68237162,34686672.84277395,7532930.121757543,37016.26363155108
39060,Pottsville,PA,2005,0,18114.0,48634061.443932414,152368657.96210957,34505752.68817204,7523052.73937532,37027.40245775729
39060,Pottsville,PA,2006,0,18262.0,50146879.46428572,151637963.78968254,34789659.22619048,11701826.38888889,37358.07440476191
39060,Pottsville,PA,2007,0,18877.0,45728731.78967679,157301755.4269175,35466194.404245056,12849140.858658949,38404.33912204534
39060,Pottsville,PA,2008,0,18347.0,46004622.38736646,150478202.97259635,35883510.450534135,12359823.03762192,38884.68973525313
39060,Pottsville,PA,2009,0,18127.0,47268754.42684063,154831950.13979498,36560572.22739981,11916382.5722274,38738.66915191053
39060,Pottsville,PA,2010,0,17934.0,46744679.96331958,158334692.34296194,36671436.497019716,12547003.20953691,39147.54103622192
39060,Pottsville,PA,2011,0,17812.0,46627446.420631394,158938754.1129391,36853089.37305469,9063763.45042241,38965.54201867497
39060,Pottsville,PA,2012,0,17759.0,50112077.09059233,154929030.92334494,36600960.36585366,9080913.763066202,38357.22735191637
39060,Pottsville,PA,2013,0,17604.0,47359371.24463519,167158662.23175964,36937127.038626604,8785983.690987123,37864.45107296137
39060,Pottsville,PA,2014,0,17532.0,48247035.910435155,153970937.896071,37599891.00126743,9576596.958174905,38614.2648922687
39060,Pottsville,PA,2015,0,17313.0,47197688.60759493,157971891.56118143,38143535.02109704,10130898.734177215,40439.44050632911
39060,Pottsville,PA,2016,0,17009.0,47939488.333333336,163628822.5,38536120.833333336,10458130.0,40458.1325
39060,Pottsville,PA,2017,0,17250.0,46937798.4496124,162311599.75520197,38401946.144430846,11081376.580987353,40884.87556099551
39060,Pottsville,PA,2018,0,17154.0,45486290.72082836,160318095.57945043,38391659.49820789,10763636.001592992,41659.446435683
39060,Pottsville,PA,2019,0,16884.0,46034000.0,160171000.0,39337000.0,12396000.0,42581.0
39150,Prescott Valley-Prescott,AZ,1998,1,22154.0,33164133.128834352,87491755.21472391,19539872.392638035,4939873.006134969,32248.00552147239
39150,Prescott Valley-Prescott,AZ,1999,1,22595.0,33646190.87635054,94082558.8235294,20848912.364945978,5094047.418967587,32085.285114045615
39150,Prescott Valley-Prescott,AZ,2000,1,22803.0,33693894.88966318,93302286.87572591,21884475.029036008,5865360.046457608,32105.050522648085
39150,Prescott Valley-Prescott,AZ,2001,1,22881.0,39189997.74011299,99153814.68926553,24518307.344632767,7724451.412429378,32590.915254237287
39150,Prescott Valley-Prescott,AZ,2002,1,23658.0,39881524.73596442,100201993.32962756,26191127.848804887,8252330.183435241,32439.361311839908
39150,Prescott Valley-Prescott,AZ,2003,1,25200.0,41460921.19565217,101061255.97826086,28331282.065217387,9320542.934782607,32958.89619565217
39150,Prescott Valley-Prescott,AZ,2004,1,25675.0,40981034.939121224,113354016.41079935,29341202.752779245,7677768.131286394,34467.38538909476
39150,Prescott Valley-Prescott,AZ,2005,1,26618.0,42045825.908858165,118004306.19559652,31988030.721966203,8150192.0122887865,35689.33077316948
39150,Prescott Valley-Prescott,AZ,2006,1,27567.0,44859115.07936508,124531988.0952381,32904886.40873016,8454842.261904763,36321.82986111111
39150,Prescott Valley-Prescott,AZ,2007,1,27010.0,46842562.46985046,135059679.208876,32627961.408586588,10047912.204534492,37188.12976362759
39150,Prescott Valley-Prescott,AZ,2008,1,27305.0,48470173.71110078,139696760.33441707,35321754.2963307,10345576.86948444,36645.978634463536
39150,Prescott Valley-Prescott,AZ,2009,1,26923.0,48048007.92171482,141142587.138863,34787591.798695244,10629541.938490214,35061.64119291706
39150,Prescott Valley-Prescott,AZ,2010,1,26349.0,42305981.20128381,133075377.8083448,42437289.77533241,9467113.709307658,34277.39981659789
39150,Prescott Valley-Prescott,AZ,2011,1,25611.0,36949730.102267675,123233983.99288572,45296078.25700311,9594718.986216096,34715.623832814585
39150,Prescott Valley-Prescott,AZ,2012,1,24898.0,36927267.421602786,117273419.4250871,46936986.9337979,8372615.853658536,34686.55139372822
39150,Prescott Valley-Prescott,AZ,2013,1,25388.0,35265748.927038625,112663834.33476394,32399275.107296135,8460048.497854076,35509.37725321888
39150,Prescott Valley-Prescott,AZ,2014,1,25371.0,39549779.0452049,123114094.63455851,35503086.18504436,11108420.363329109,37023.02661596958
39150,Prescott Valley-Prescott,AZ,2015,1,25337.0,43582284.81012658,121677596.20253164,34855038.8185654,10613168.35443038,38456.41687763713
39150,Prescott Valley-Prescott,AZ,2016,1,25125.0,41418072.916666664,126754751.66666667,36025999.166666664,10718091.666666666,39243.5575
39150,Prescott Valley-Prescott,AZ,2017,1,24864.0,46359839.249286,124149600.57119542,35262813.95348837,9546759.281925745,40779.50754793962
39150,Prescott Valley-Prescott,AZ,2018,1,24458.0,42154349.66148945,125123958.98048587,34913080.44603744,9123123.456790125,41473.09398645958
39150,Prescott Valley-Prescott,AZ,2019,1,24107.0,40351000.0,132261000.0,35821000.0,9464000.0,42739.0
39220,Price,UT,1998,0,4771.0,6063070.5521472385,23907165.644171778,4387686.503067484,818867.4846625766,32630.771165644168
39220,Price,UT,1999,0,4639.0,6117768.307322929,23921609.843937572,4500074.429771909,834938.775510204,32682.327731092435
39220,Price,UT,2000,0,4656.0,6146006.387921022,25112650.40650407,4393822.880371661,959246.2253193961,32504.488966318237
39220,Price,UT,2001,0,4285.0,6460397.740112994,26734374.011299435,4511588.13559322,1066138.9830508474,33255.44632768361
39220,Price,UT,2002,0,4097.0,6424480.266814897,26117217.898832683,4521299.055030572,1051795.4419121733,32908.40522512507
39220,Price,UT,2003,0,4114.0,6366096.195652173,23869039.13043478,4333003.2608695645,1100621.7391304346,32696.247826086954
39220,Price,UT,2004,0,3942.0,9092307.570142932,21403538.380095284,4288287.98305982,1084254.6320804658,33649.79512969825
39220,Price,UT,2005,0,3824.0,9570747.567844342,21011129.544290833,3935658.986175115,1389133.1285202252,35448.42549923195
39220,Price,UT,2006,0,3861.0,9323664.186507937,20934169.1468254,4294643.84920635,1551195.9325396826,36375.100694444445
39220,Price,UT,2007,0,3936.0,9014257.597684516,20562079.112397492,4440520.984081042,1212508.9242643511,35807.86782440907
39220,Price,UT,2008,0,4663.0,7944158.383650718,24385917.78913144,4390724.105898745,1098571.760334417,37027.21272642823
39220,Price,UT,2009,0,4109.0,7967688.25722274,25132712.488350417,4648116.029822926,1176029.35694315,36640.40400745573
39220,Price,UT,2010,0,4169.0,8162234.754699679,22627281.063732233,4245253.094910592,1158329.206785878,37023.155891792754
39220,Price,UT,2011,0,4086.0,7819940.417963539,22130726.989773232,4662630.947087594,873177.4121831926,39101.97598932859
39220,Price,UT,2012,0,4076.0,7521767.4216027865,20488296.602787454,4332199.477351916,1190519.5993031359,36179.990853658535
39220,Price,UT,2013,0,4089.0,7731358.369098712,23059091.84549356,4258008.583690987,882329.6137339055,35970.2957081545
39220,Price,UT,2014,0,4046.0,7050924.799324039,21849548.795944236,4444232.361639206,967922.2644697931,36591.99873257288
39220,Price,UT,2015,0,4042.0,7164994.514767932,20983583.544303797,4923034.17721519,1030352.3206751054,37812.31181434599
39220,Price,UT,2016,0,4008.0,6729171.666666667,22009377.5,5899212.083333333,2264010.4166666665,36990.20125
39220,Price,UT,2017,0,3971.0,6666352.5091799265,22866945.328437373,5296568.339453285,2242982.456140351,37667.49979600163
39220,Price,UT,2018,0,3983.0,6969377.937076862,23484481.879729193,5346176.821983274,1137462.763839108,39357.02628434887
39220,Price,UT,2019,0,4063.0,7288000.0,24370000.0,5138000.0,1209000.0,40566.0
39300,Providence-Warwick,RI,1998,1,238587.0,435370820.85889566,1911290045.3987727,361584899.38650304,46408765.644171774,42013.23558282208
39300,Providence-Warwick,RI,1999,1,239406.0,447427420.76830727,1974946375.7503,382308335.53421366,52045540.21608643,42761.45078031212
39300,Providence-Warwick,RI,2000,1,243761.0,469426295.58652735,2056156163.1823463,404081729.96515685,54072680.02322881,44247.08826945413
39300,Providence-Warwick,RI,2001,1,245359.0,486331287.57062143,2168152531.6384177,431215658.1920904,58751770.05649717,45335.46553672316
39300,Providence-Warwick,RI,2002,1,246004.0,481664037.24291265,2253470312.9516397,462274046.1367426,67114498.61033908,45865.38799332962
39300,Providence-Warwick,RI,2003,1,248306.0,505167312.49999994,2256319034.7826085,482925581.52173907,77192216.84782608,46566.58315217391
39300,Providence-Warwick,RI,2004,1,247640.0,533885085.75966114,2354058937.0037055,487589714.13446265,78955665.96082583,47333.60296453149
39300,Providence-Warwick,RI,2005,1,244525.0,513020873.52790576,2418975679.9795184,550807651.3056835,82728704.04505888,47108.764464925756
39300,Providence-Warwick,RI,2006,1,240204.0,538536416.170635,2403738544.1468253,618115431.0515873,75846251.48809524,48260.8382936508
